case_id,family,baseline_failure_mode,candidate_failure_mode,baseline_exact_match,candidate_exact_match,delta_exact_match,baseline_executable_match,candidate_executable_match,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
api_form_issue_fetch,api_canonicalization,exact,argument_mismatch,True,False,-1,,,1,1,0
api_invoice_lock_hold_update,api_canonicalization,exact,argument_mismatch,True,False,-1,,,1,1,0
cli_invoice_lock_hyphen_query,cli_canonicalization,exact,argument_mismatch,True,False,-1,,,1,1,0
cli_phone_patch_latest_only,cli_patch_copying,exact,argument_mismatch,True,False,-1,,,1,1,0
