failure_mode,baseline_count,candidate_count,delta_count
argument_repair,4.0,4.0,0.0
fallback_disabled,5.0,4.0,-1.0
fallback_planner,11.0,8.0,-3.0
repair_disabled,10.0,4.0,-6.0
visual_readback_missing,3.0,2.0,-1.0
visual_repeated_refinement,4.0,3.0,-1.0
visual_stepwise_control,13.0,8.0,-5.0
