system_id,lane,disabled_controls,tool_turn_directive_enabled,real_world_readiness_avg,delta_vs_contracted_real_world_readiness_avg,delta_vs_no_directive_real_world_readiness_avg,strict_interface_avg,delta_vs_contracted_strict_interface_avg,delta_vs_no_directive_strict_interface_avg,recovered_execution_avg,delta_vs_contracted_recovered_execution_avg,delta_vs_no_directive_recovered_execution_avg,controller_repair_avg,delta_vs_contracted_controller_repair_avg,delta_vs_no_directive_controller_repair_avg,argument_repair_avg,delta_vs_contracted_argument_repair_avg,delta_vs_no_directive_argument_repair_avg,controller_fallback_avg,delta_vs_contracted_controller_fallback_avg,delta_vs_no_directive_controller_fallback_avg,intent_override_avg,delta_vs_contracted_intent_override_avg,delta_vs_no_directive_intent_override_avg,raw_planning_clean_rate_avg,delta_vs_contracted_raw_planning_clean_rate_avg,delta_vs_no_directive_raw_planning_clean_rate_avg
mlx_gemma4_e2b_reasoner_only,live_web_stress,,True,0.9771000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,1.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,live_web_stress,disable_tool_turn_directive,False,0.9771000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,disable_argument_repair;disable_tool_turn_directive,False,0.8122,-0.1649,-0.1649,0.71875,-0.28125,-0.28125,0.5,-0.5,-0.5,0.5,0.5,-0.5,0.0,0.0,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,-0.5,0.5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,live_web_stress,disable_controller_fallback;disable_tool_turn_directive,False,0.83125,-0.14585,-0.14585,0.625,-0.375,-0.375,0.5,-0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,-0.5,0.5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,live_web_stress,disable_controller_repair;disable_tool_turn_directive,False,0.646975,-0.330125,-0.330125,0.296875,-0.703125,-0.703125,0.0,-1.0,-1.0,1.25,1.25,0.25,0.0,0.0,-0.5,1.25,1.25,0.75,0.0,0.0,0.0,0.725,-0.275,0.725
