case_id,family,source_failure_mode,baseline_exact_match,expected_call_count,source_actual_call_count,status,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match
h2x_status_badge_quoted_not_badge_note,h2x_quoted_stale_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2x_summary_tile_caption_says_not_tile,h2x_quoted_stale_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2x_risk_lane_stale_selection_not_lane,h2x_stale_selection_negation_context,argument_alias_or_decoy_risk,,1,,non_exact,wrong_tool,False,False,False
h2x_owner_field_do_not_use_memo,h2x_instructional_negation_context,argument_alias_or_decoy_risk,,1,,exact,exact,True,True,True
h2x_not_ready_status_badge_value_before_component,h2x_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h2x_not_applicable_reason_chip_value_before_component,h2x_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h2x_not_approved_approval_toggle_value_before_component,h2x_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h2x_not_blocked_result_tile_value_before_component,h2x_genuine_negated_target_value,argument_alias_or_decoy_risk,,1,,non_exact,executable_paraphrase,False,True,True
