finding_id,finding
strict_upper_bound,argument_hints_v2 is the strict upper bound at 0.75.
executor_equivalence_set,Executor-equivalent full-success rows: none.
executor_without_strict,Rows with executor gain without strict gain: none.
regressions,"Regression cases: argument_hints_v2:component_value_phase_tile_ticket_decoy, component_value_guard_v9:component_value_priority_chip_table_decoy, component_value_guard_v9:component_value_result_pill_log_decoy, component_value_guard_v9:component_value_state_pill_note_decoy, contracted:component_value_phase_tile_ticket_decoy, contracted:component_value_result_pill_log_decoy, contracted:component_value_risk_badge_stale_selection_decoy, contracted:component_value_severity_pill_chart_decoy, contracted:component_value_state_pill_note_decoy, hybrid_label_guard_v8:component_value_priority_chip_table_decoy, hybrid_label_guard_v8:component_value_result_pill_log_decoy, oblique_code_guard_v7:component_value_phase_tile_ticket_decoy, oblique_code_guard_v7:component_value_priority_chip_table_decoy, oblique_code_hints_v6:component_value_phase_tile_ticket_decoy, oblique_code_hints_v6:component_value_priority_chip_table_decoy, oblique_code_hints_v6:component_value_risk_badge_stale_selection_decoy, oblique_code_hints_v6:component_value_state_pill_note_decoy, schema_field_hints_v4:component_value_phase_tile_ticket_decoy, schema_field_hints_v4:component_value_priority_chip_table_decoy, schema_field_hints_v4:component_value_result_pill_log_decoy, schema_field_hints_v4:component_value_severity_pill_chart_decoy."
