comparison_dir,baseline_system_id,candidate_system_id,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
results/tool_probe_replay_live_comparisons/20260510T_h1w_component_label_guard_vs_no_directive_v1,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,8,0.0,1.0,1.0,0.0,1.0,1.0
results/tool_probe_replay_live_comparisons/20260510T_h1w_component_residual_guard_vs_no_directive_v1,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,8,0.0,0.875,0.875,0.0,0.875,0.875
results/tool_probe_replay_live_comparisons/20260510T_h1w_code_label_exact_guard_vs_no_directive_v1,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_code_label_exact_guard,8,0.0,0.75,0.75,0.0,0.75,0.75
results/tool_probe_replay_live_comparisons/20260510T_h1w_component_residual_guard_vs_component_label_guard_v1,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,8,1.0,0.875,-0.125,1.0,0.875,-0.125
results/tool_probe_replay_live_comparisons/20260510T_h1w_code_label_exact_guard_vs_component_label_guard_v1,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_code_label_exact_guard,8,1.0,0.75,-0.25,1.0,0.75,-0.25
results/tool_probe_replay_live_comparisons/20260510T_h1w_code_label_exact_guard_vs_component_residual_guard_v1,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_code_label_exact_guard,8,0.875,0.75,-0.125,0.875,0.75,-0.125
