case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
transfer_oblique_alert_p55_toggle_decoy,visual_tool_routing_transfer_oblique,wrong_tool_or_stale_selection_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
transfer_oblique_badge_m88_chart_decoy,visual_argument_transfer_oblique,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,no_tool_call,exact,0,1,1
transfer_oblique_cell_r42_notice_decoy,visual_argument_transfer_oblique,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
transfer_oblique_chip_z33_person_decoy,visual_argument_transfer_oblique,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,no_tool_call,exact,0,1,1
transfer_oblique_field_e19_old_selection_decoy,visual_tool_routing_transfer_oblique,wrong_tool_or_stale_selection_risk,False,True,1,False,True,1,False,True,1,no_tool_call,exact,0,1,1
transfer_oblique_node_q17_table_decoy,visual_argument_transfer_oblique,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
