system_id,tool_prompt_contract_id,execute,output_dir,comparison_path,no_directive_comparison_path,exact_match_rate,executable_match_rate,delta_exact_vs_contracted,delta_exact_vs_no_directive,probe_gate
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,schema_anchor_v1,True,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor/comparison_vs_no_directive/probe_comparison.json,0.125,0.0,-0.75,0.125,probe_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,literal_argument_guard_v1,True,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard/comparison_vs_no_directive/probe_comparison.json,0.0,1.0,-0.875,0.0,probe_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,tool_required_parallel_v1,True,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/tool_prompt_contract_probe_packets/20260507T_prompt_contract_candidates_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required/comparison_vs_no_directive/probe_comparison.json,0.0,1.0,-0.875,0.0,probe_improved_vs_no_directive
