failure_mode,count,system_count,episode_count,systems,episodes
fallback_planner,4,2,2,hf_service_gemma4_specialists_cpu_no_controller_repair;hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
argument_repair,3,1,3,hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_jobs_email_block_resume_hold_v5
repair_disabled,3,1,3,hf_service_gemma4_specialists_cpu_no_controller_repair,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_jobs_email_block_resume_hold_v5
