case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,False,False,0,False,True,1,argument_mismatch,executable_paraphrase,1,1,0
