case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
h1r_owner_field_stale_selection_note_decoy,h1r_stale_selection_component_label,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1r_component_label_residual_oracle_dry_run_v1/cases/h1r_owner_field_stale_selection_note_decoy.json
h1r_assignee_field_previous_selection_summary_decoy,h1r_stale_selection_component_label,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1r_component_label_residual_oracle_dry_run_v1/cases/h1r_assignee_field_previous_selection_summary_decoy.json
h1r_state_tag_log_value_decoy,h1r_nonstandard_component_class,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1r_component_label_residual_oracle_dry_run_v1/cases/h1r_state_tag_log_value_decoy.json
h1r_mode_toggle_note_value_decoy,h1r_nonstandard_component_class,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1r_component_label_residual_oracle_dry_run_v1/cases/h1r_mode_toggle_note_value_decoy.json
h1r_alert_s92_toggle_negation_decoy,h1r_code_label_exactness,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1r_component_label_residual_oracle_dry_run_v1/cases/h1r_alert_s92_toggle_negation_decoy.json
h1r_badge_c08_note_decoy,h1r_code_label_exactness,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1r_component_label_residual_oracle_dry_run_v1/cases/h1r_badge_c08_note_decoy.json
