case_id,family,source_failure_mode,baseline_replay_exact_match,candidate_replay_exact_match,delta_exact_match,baseline_replay_executable_match,candidate_replay_executable_match,delta_executable_match,baseline_replay_executor_equivalence_match,candidate_replay_executor_equivalence_match,delta_executor_equivalence_match,baseline_replay_failure_mode,candidate_replay_failure_mode,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,wrong_tool_or_stale_selection_risk,True,False,-1,True,False,-1,True,False,-1,exact,argument_mismatch,1,1,0
component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,argument_alias_or_decoy_risk,False,False,0,False,False,0,False,False,0,argument_mismatch,argument_mismatch,1,1,0
component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,argument_alias_or_decoy_risk,True,False,-1,True,False,-1,True,False,-1,exact,argument_mismatch,1,1,0
component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,wrong_tool_or_stale_selection_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,argument_alias_or_decoy_risk,True,True,0,True,True,0,True,True,0,exact,exact,1,1,0
component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,argument_alias_or_decoy_risk,True,False,-1,True,False,-1,True,False,-1,exact,argument_mismatch,1,1,0
component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,argument_alias_or_decoy_risk,False,True,1,False,True,1,False,True,1,argument_mismatch,exact,1,1,0
