profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2v_h2j_target_query_normalization,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_target_query_normalization,results/tool_probe_replay_live/20260513T_h2v_semantic_negation_h2j_execute_v1,10,3,0.3,4,0.4
h2v_h2r_composed_route_gating,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260513T_h2v_semantic_negation_h2r_execute_v1,10,3,0.3,4,0.4
h2v_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260513T_h2v_semantic_negation_h2u_execute_v1,10,4,0.4,5,0.5
