case_id,family,baseline_failure_mode,candidate_failure_mode,baseline_exact_match,candidate_exact_match,delta_exact_match,baseline_executable_match,candidate_executable_match,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
visual_form_target_literal,visual_argument_copying,executable_paraphrase,no_tool_call,False,False,0,True,False,1,0,-1
visual_latest_filter_literal,visual_referent_carryover,exact,no_tool_call,True,False,-1,,,1,0,-1
visual_readback_region_literal,visual_referent_carryover,exact,no_tool_call,True,False,-1,,,1,0,-1
