family,case_count,baseline_exact_count,candidate_exact_count,delta_exact_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate
visual_argument_copying,1,0,0,0,0.0,0.0,0.0
visual_referent_carryover,2,2,0,-2,1.0,0.0,-1.0
