case_id,family,baseline_exact_match,candidate_exact_match,delta_exact_match,baseline_failure_mode,candidate_failure_mode,baseline_executable_match,candidate_executable_match,delta_executable_match,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count
api_form_issue_fetch,api_canonicalization,False,False,0,argument_mismatch,argument_mismatch,,,,1,1,0
api_invoice_lock_hold_update,api_canonicalization,False,False,0,argument_mismatch,argument_mismatch,,,,1,1,0
cli_invoice_lock_hyphen_query,cli_canonicalization,False,False,0,argument_mismatch,argument_mismatch,,,,1,1,0
cli_phone_patch_latest_only,cli_patch_copying,False,False,0,argument_mismatch,argument_mismatch,,,,1,1,0
parallel_audit_array_literal,parallel_tool_calling,False,False,0,no_tool_call,no_tool_call,,,,0,0,0
visual_form_target_literal,visual_argument_copying,False,False,0,no_tool_call,argument_mismatch,False,False,0,0,1,1
visual_latest_filter_literal,visual_referent_carryover,False,True,1,no_tool_call,exact,,,,0,1,1
visual_readback_region_literal,visual_referent_carryover,False,False,0,no_tool_call,no_tool_call,,,,0,0,0
