case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_result_tile_blocked_value_badge_decoy.json
h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_state_panel_closed_value_tag_decoy.json
h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_priority_badge_critical_stale_status_decoy.json
h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_owner_field_amina_archived_owner_decoy.json
h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_archive_panel_error_notice_banner_decoy.json
h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_mode_field_manual_switch_decoy.json
h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_result_tile_stale_selection_hint.json
h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260512T_h2q_composed_surface_value_stale_dry_run_v1/cases/h2q_state_panel_stale_selection_hint.json
