case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
transfer_review_tile_notice_table_decoy,visual_argument_transfer,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_transfer_oracle_dry_run_v2/cases/transfer_review_tile_notice_table_decoy.json
transfer_status_pill_chart_decoy,visual_argument_transfer,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_transfer_oracle_dry_run_v2/cases/transfer_status_pill_chart_decoy.json
transfer_error_banner_note_decoy,visual_argument_transfer,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_transfer_oracle_dry_run_v2/cases/transfer_error_banner_note_decoy.json
transfer_queue_badge_person_decoy,visual_argument_transfer,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_transfer_oracle_dry_run_v2/cases/transfer_queue_badge_person_decoy.json
transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_transfer_oracle_dry_run_v2/cases/transfer_form_error_old_selection_chip_decoy.json
transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_transfer_oracle_dry_run_v2/cases/transfer_signature_warning_checkbox_decoy.json
