profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,argument_mismatch_count,executable_paraphrase_count,wrong_tool_count,no_tool_call_count
no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1x_v11_breaker_no_directive_execute_v1,8,2,0.25,2,0.25,2,0,0,4
component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1x_v11_breaker_component_label_guard_execute_v1,8,7,0.875,7,0.875,0,0,1,0
component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1x_v11_breaker_component_residual_guard_execute_v1,8,8,1.0,8,1.0,0,0,0,0
code_label_exact_guard_v15,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_code_label_exact_guard,results/tool_probe_replay_live/20260510T_h1x_v11_breaker_code_label_exact_guard_execute_v1,8,6,0.75,7,0.875,0,1,1,0
