profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2y_h2u_negation_guard,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard,results/tool_probe_replay_live/20260519T_h2y_scaled_cli_semantic_pressure_h2u_execute_v1,16,4,0.25,5,0.3125
h2y_h2u_no_controller_fallback,mlx_gemma4_e2b_reasoner_only_h2u_no_controller_fallback,results/tool_probe_replay_live/20260519T_h2y_scaled_cli_semantic_pressure_h2u_no_fallback_execute_v1,16,4,0.25,5,0.3125
h2y_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260519T_h2y_scaled_cli_semantic_pressure_h2w_execute_v1,16,12,0.75,12,0.75
h2y_h2w_no_controller_fallback,mlx_gemma4_e2b_reasoner_only_h2w_no_controller_fallback,results/tool_probe_replay_live/20260519T_h2y_scaled_cli_semantic_pressure_h2w_no_fallback_execute_v1,16,12,0.75,12,0.75
