evaluation_split,profile_label,slice_count,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
local_h1y,component_label_guard_v11,1,10,5,0.5,5,0.5
local_h1y,component_residual_guard_v12,1,10,7,0.7,7,0.7
local_h1y,h2a_visual_stale_selection_gate,1,10,8,0.8,8,0.8
local_h1y,no_directive,1,10,0,0.0,0,0.0
transfer_h1n_h1o_h1p_h1x,component_label_guard_v11,4,40,33,0.825,36,0.9
transfer_h1n_h1o_h1p_h1x,component_residual_guard_v12,4,40,35,0.875,35,0.875
transfer_h1n_h1o_h1p_h1x,h2a_visual_stale_selection_gate,4,40,35,0.875,38,0.95
transfer_h1n_h1o_h1p_h1x,no_directive,4,40,12,0.3,14,0.35
