finding_id,finding
strict_upper_bound,contracted is the strict upper bound at 0.875.
executor_equivalence_set,"Executor-equivalent full-success rows: contracted, schema_literal_targets_v5."
executor_without_strict,"Rows with executor gain without strict gain: argument_hints_v2, contracted, role_catalog_v1, schema_field_hints_v4, schema_literal_targets_v5."
regressions,Regression cases: role_catalog_v1:stress_form_error_stale_selection_warning_decoy.
