system_id,exact_match_count,exact_match_rate,executable_match_count,executable_match_rate,executor_equivalence_match_count,executor_equivalence_match_rate,delta_exact_vs_contracted,delta_exact_vs_no_directive,delta_executable_vs_contracted,delta_executable_vs_no_directive,delta_executor_equivalence_vs_contracted,delta_executor_equivalence_vs_no_directive,dominant_failure_mode,hard_slice_gate,output_dir
mlx_gemma4_e2b_reasoner_only,8,1.0,8,1.0,8,1.0,0.0,0.875,0.0,0.875,0.0,0.875,exact,contracted_reference,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,1,0.125,1,0.125,1,0.125,-0.875,0.0,-0.875,0.0,-0.875,0.0,no_tool_call,no_directive_reference,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,3,0.375,3,0.375,3,0.375,-0.625,0.25,-0.625,0.25,-0.625,0.25,argument_mismatch,hard_slice_improved_vs_no_directive,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,6,0.75,7,0.875,7,0.875,-0.25,0.625,-0.125,0.75,-0.125,0.75,exact,hard_slice_improved_vs_no_directive,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,5,0.625,6,0.75,6,0.75,-0.375,0.5,-0.25,0.625,-0.25,0.625,exact,hard_slice_improved_vs_no_directive,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,6,0.75,8,1.0,8,1.0,-0.25,0.625,0.0,0.875,0.0,0.875,exact,hard_slice_improved_vs_no_directive,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,5,0.625,7,0.875,7,0.875,-0.375,0.5,-0.125,0.75,-0.125,0.75,exact,hard_slice_improved_vs_no_directive,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,3,0.375,4,0.5,4,0.5,-0.625,0.25,-0.5,0.375,-0.5,0.375,exact,hard_slice_improved_vs_no_directive,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_executor_equivalence_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard
