family,case_count,baseline_exact_count,candidate_exact_count,baseline_executable_count,candidate_executable_count,shared_executable_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executable_rate,candidate_executable_rate,delta_executable_rate
visual_argument_copying,3,3,1,3,2,3,1.0,0.3333333333333333,-0.6666666666666666,1.0,0.6666666666666666,-0.3333333333333333
visual_referent_carryover,3,3,0,3,0,3,1.0,0.0,-1.0,1.0,0.0,-1.0
visual_region_readback,1,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
visual_tool_routing,1,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
