failure_mode,count,system_count,episode_count,systems,episodes
visual_readback_missing,4,2,2,hf_service_gemma4_specialists_cpu_no_controller_repair;hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
visual_stepwise_control,4,2,2,hf_service_gemma4_specialists_cpu_no_controller_repair;hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
repair_disabled,2,1,2,hf_service_gemma4_specialists_cpu_no_controller_repair,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
visual_follow_on,2,1,2,hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
visual_repeated_refinement,2,1,2,hf_service_gemma4_specialists_cpu_no_controller_repair,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
argument_repair,1,1,1,hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,kwa_jobs_email_block_resume_hold_v5
