comparison_label,comparison_dir,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
h1x_h2c_vs_v11,results/tool_probe_replay_live_comparisons/20260510T_h2c_scoped_residual_gate_vs_component_label_guard_on_h1x_v1,8,0.875,0.875,0.0,0.875,0.875,0.0
h1x_h2c_vs_v12,results/tool_probe_replay_live_comparisons/20260510T_h2c_scoped_residual_gate_vs_component_residual_guard_on_h1x_v1,8,1.0,0.875,-0.125,1.0,0.875,-0.125
h1x_h2c_vs_h2a,results/tool_probe_replay_live_comparisons/20260510T_h2c_scoped_residual_gate_vs_h2a_on_h1x_v1,8,1.0,0.875,-0.125,1.0,0.875,-0.125
h1x_h2c_vs_no_directive,results/tool_probe_replay_live_comparisons/20260510T_h2c_scoped_residual_gate_vs_no_directive_on_h1x_v1,8,0.25,0.875,0.625,0.25,0.875,0.625
