finding_id,finding
strict_upper_bound,oblique_code_hints_v6 is the strict upper bound at 0.8333333333333334.
executor_equivalence_set,Executor-equivalent full-success rows: .
executor_without_strict,Rows with executor gain without strict gain: .
regressions,Regression cases: none.
