profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,no_tool_call_count,argument_mismatch_count,executable_paraphrase_count
no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h2b_residual_exactness_no_directive_execute_v1,5,1,0.2,2,0.4,2,1,1
component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h2b_residual_exactness_component_label_guard_execute_v1,5,0,0.0,3,0.6,0,2,3
component_value_guard_v9,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_value_guard,results/tool_probe_replay_live/20260510T_h2b_residual_exactness_component_value_guard_execute_v1,5,3,0.6,4,0.8,0,1,1
component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h2b_residual_exactness_component_residual_guard_execute_v1,5,4,0.8,4,0.8,0,1,0
code_label_exact_guard_v15,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_code_label_exact_guard,results/tool_probe_replay_live/20260510T_h2b_residual_exactness_code_label_exact_guard_execute_v1,5,3,0.6,3,0.6,0,2,0
h2a_stale_selection_gate,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2b_residual_exactness_h2a_execute_v1,5,0,0.0,3,0.6,0,2,3
