system_id,note,count,episode_count,task_count,episodes
hf_service_gemma4_specialists_cpu_no_controller_repair,controller_fallback_planner,1,1,1,kwa_exec_visual_dashboard_brief
hf_service_gemma4_specialists_cpu_no_controller_repair,controller_repair_disabled,19,5,9,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,controller_fallback_planner,1,1,1,kwa_exec_visual_dashboard_brief
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,feedback_prior:read_region_text,1,1,1,kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,repaired_arguments:refine_selection,3,2,2,kwa_exec_backlog_resume_hold_v5;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,visual_stepwise_prior,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,intent_priority_disabled,9,5,9,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
