profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,argument_mismatch_count,wrong_tool_count,no_tool_call_count
no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_no_directive_execute_v1,6,0,0.0,1,0.16666666666666666,2,0,3
component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_component_label_guard_execute_v1,6,5,0.8333333333333334,5,0.8333333333333334,1,0,0
component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_component_residual_guard_execute_v1,6,6,1.0,6,1.0,0,0,0
conditional_residual_route_v13,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_conditional_residual_route,results/tool_probe_replay_live/20260510T_h1t_conditional_residual_route_on_h1r_component_residual_execute_v1,6,3,0.5,3,0.5,3,0,0
nonstandard_component_class_guard_v14,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_nonstandard_component_class_guard,results/tool_probe_replay_live/20260510T_h1u_nonstandard_component_class_guard_on_h1r_component_residual_execute_v1,6,5,0.8333333333333334,5,0.8333333333333334,1,0,0
code_label_exact_guard_v15,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_code_label_exact_guard,results/tool_probe_replay_live/20260510T_h1u_code_label_exact_guard_on_h1r_component_residual_execute_v1,6,6,1.0,6,1.0,0,0,0
