surface_id,replay_signal,packaged_surface,replay_comparison_count,replay_max_delta_exact_rate,replay_max_delta_executor_equivalence_rate,replay_positive_executor_delta_count,packaged_system_count,packaged_readiness_span,packaged_strict_interface_span,packaged_recovered_execution_span,packaged_controller_burden_max,classification
h1l_visual_executor_equivalence,preserved two-case visual hard-slice replay,five packaged visual workflows,5,1.0,1.0,5,6,0.0,0.0,0.0,0.0,positive_replay_saturated_packaged_surface
h1m_visual_alias_repeat,eight-case visual alias-repeat replay,three packaged alias-repeat visual workflows,5,0.625,0.375,5,6,0.0,0.0,0.0,0.0,positive_replay_saturated_packaged_surface
