case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
stress_metric_panel_with_chart_table_decoys,visual_argument_copying_stress,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_metric_panel_with_chart_table_decoys.json
stress_metric_panel_with_kpi_copy_decoy,visual_argument_copying_stress,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_metric_panel_with_kpi_copy_decoy.json
stress_form_error_stale_selection_status_decoy,visual_tool_routing_stress,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_form_error_stale_selection_status_decoy.json
stress_form_error_stale_selection_warning_decoy,visual_tool_routing_stress,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_form_error_stale_selection_warning_decoy.json
stress_metric_panel_status_banner_decoy,visual_argument_copying_stress,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_metric_panel_status_banner_decoy.json
stress_metric_panel_summary_card_decoy,visual_argument_copying_stress,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_metric_panel_summary_card_decoy.json
stress_callout_warning_person_table_decoy,visual_argument_copying_stress,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_callout_warning_person_table_decoy.json
stress_callout_warning_risk_note_decoy,visual_argument_copying_stress,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260509T_visual_hard_slice_live_stress_alias_repeat_dry_run_v1/cases/stress_callout_warning_risk_note_decoy.json
