workflow_id,episode_id,session_count,status_counts,role_readiness_avg,strict_interface_avg,recovered_execution_avg,controller_repair_avg,argument_repair_avg,controller_fallback_avg,raw_planning_clean_rate_avg,controller_finding_count,policy_block_count,approval_count,session_ids
executive_visual_dashboard_review,kwa_exec_live_visual_dashboard_brief,3,{'completed': 3},0.9941999999999999,1.0,1.0,0.5,0.5,0.0,0.5,3,3,0,"['20260506T223938324436Z_executive_visual_dashboard_review', '20260506T224011072263Z_executive_visual_dashboard_review', '20260506T224039228411Z_executive_visual_dashboard_review']"
finance_visual_invoice_review,kwa_finance_live_invoice_lock_direction_hold_v4,3,{'awaiting_approval': 3},0.9687,1.0,1.0,0.5,0.5,0.0,0.5,3,9,3,"['20260506T223951183758Z_finance_visual_invoice_review', '20260506T224019554616Z_finance_visual_invoice_review', '20260506T224048953238Z_finance_visual_invoice_review']"
jobs_visual_form_hold,kwa_jobs_live_email_block_resume_hold_v5,3,{'awaiting_approval': 3},0.9826,1.0,1.0,1.0,0.5,0.5,0.0,6,9,3,"['20260506T224000427871Z_jobs_visual_form_hold', '20260506T224028793330Z_jobs_visual_form_hold', '20260506T224059614876Z_jobs_visual_form_hold']"
