workflow_id,session_count,status_counts,finding_patterns_by_repeat,stable_finding_pattern,policy_patterns_by_repeat,stable_policy_pattern,controller_repair_avg,argument_repair_avg,controller_fallback_avg,raw_planning_clean_rate_avg
executive_visual_dashboard_review,3,"{""completed"": 3}","{""1"": [""visual_016_live_dashboard_stale_selection_recovery:repaired_arguments:extract_layout""], ""2"": [""visual_016_live_dashboard_stale_selection_recovery:repaired_arguments:extract_layout""], ""3"": [""visual_016_live_dashboard_stale_selection_recovery:repaired_arguments:extract_layout""]}",True,"{""1"": [""sandbox_only:draft_live_brief""], ""2"": [""sandbox_only:draft_live_brief""], ""3"": [""sandbox_only:draft_live_brief""]}",True,0.5,0.5,0.0,0.5
finance_visual_invoice_review,3,"{""awaiting_approval"": 3}","{""1"": [""tool_019_finance_cli_log_search_latest_lock:repaired_arguments:cli_search_logs""], ""2"": [""tool_019_finance_cli_log_search_latest_lock:repaired_arguments:cli_search_logs""], ""3"": [""tool_019_finance_cli_log_search_latest_lock:repaired_arguments:cli_search_logs""]}",True,"{""1"": [""approval_required:attempt_live_finance_release_after_resume"", ""sandbox_only:rehydrate_live_finance_packet"", ""sandbox_only:resume_live_finance_note_revision""], ""2"": [""approval_required:attempt_live_finance_release_after_resume"", ""sandbox_only:rehydrate_live_finance_packet"", ""sandbox_only:resume_live_finance_note_revision""], ""3"": [""approval_required:attempt_live_finance_release_after_resume"", ""sandbox_only:rehydrate_live_finance_packet"", ""sandbox_only:resume_live_finance_note_revision""]}",True,0.5,0.5,0.0,0.5
jobs_visual_form_hold,3,"{""awaiting_approval"": 3}","{""1"": [""tool_021_jobs_cli_patch_only_latest_email_fix:repaired_arguments:cli_apply_patch"", ""visual_030_live_form_latest_blocked_email_refinement:controller_fallback_planner""], ""2"": [""tool_021_jobs_cli_patch_only_latest_email_fix:repaired_arguments:cli_apply_patch"", ""visual_030_live_form_latest_blocked_email_refinement:controller_fallback_planner""], ""3"": [""tool_021_jobs_cli_patch_only_latest_email_fix:repaired_arguments:cli_apply_patch"", ""visual_030_live_form_latest_blocked_email_refinement:controller_fallback_planner""]}",True,"{""1"": [""approval_required:attempt_live_jobs_email_resume_submission"", ""sandbox_only:rehydrate_live_jobs_email_packet"", ""sandbox_only:repair_live_jobs_email_packet""], ""2"": [""approval_required:attempt_live_jobs_email_resume_submission"", ""sandbox_only:rehydrate_live_jobs_email_packet"", ""sandbox_only:repair_live_jobs_email_packet""], ""3"": [""approval_required:attempt_live_jobs_email_resume_submission"", ""sandbox_only:rehydrate_live_jobs_email_packet"", ""sandbox_only:repair_live_jobs_email_packet""]}",True,1.0,0.5,0.5,0.0
