label,interpretation,comparison_dir,shared_case_count,argument_hints_exact_rate,code_hints_exact_rate,delta_exact_rate,argument_hints_executor_equivalence_rate,code_hints_executor_equivalence_rate,delta_executor_equivalence_rate,argument_hints_exact_success_count,code_hints_exact_success_count,argument_hints_executor_success_count,code_hints_executor_success_count
oracle_transfer_v2,negative_transfer,results/tool_probe_replay_live_comparisons/20260510T_h1n_oracle_code_hints_vs_argument_hints_transfer_v1,6,0.8333333333333334,0.5,-0.33333333333333337,1.0,0.5,-0.5,5,3,6,3
oracle_repeat_v1,negative_transfer,results/tool_probe_replay_live_comparisons/20260510T_h1n_oracle_repeat_code_hints_vs_argument_hints_transfer_v1,6,0.8333333333333334,0.5,-0.33333333333333337,1.0,0.6666666666666666,-0.33333333333333337,5,3,6,4
oblique_v5,localized_repair,results/tool_probe_replay_live_comparisons/20260509T_h1n_oracle_oblique_code_hints_vs_argument_hints_v1,6,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.6666666666666666,0.8333333333333334,0.16666666666666674,4,5,4,5
