run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T155926Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,False,,,,,none,1.0,0,10,0,1.0,0.0,10795,0.0,348,0,1.0
20260409T155937Z_monolith_think_006_screenshot_security_think_006_screenshot_security_language_fr,think_006_screenshot_security,think_006_screenshot_security_language_fr,thinking,monolith,hf,False,fr,,,,none,1.0,0,16,0,1.0,0.0,11199,0.0,370,0,1.0
20260409T155948Z_monolith_think_006_screenshot_security_think_006_screenshot_security_context_stale_preference,think_006_screenshot_security,think_006_screenshot_security_context_stale_preference,thinking,monolith,hf,False,,,stale_preference,,none,1.0,0,9,0,1.0,0.0,10741,0.0,362,0,1.0
20260409T155957Z_monolith_think_006_screenshot_security_think_006_screenshot_security_efficiency_dim_256,think_006_screenshot_security,think_006_screenshot_security_efficiency_dim_256,thinking,monolith,hf,False,,,,dim_256,none,1.0,0,9,0,1.0,0.0,9446,0.0,348,0,1.0
