comparison,baseline_system_id,candidate_system_id,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executable_rate,candidate_executable_rate,delta_executable_rate
visual argument hints vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,3,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
visual argument hints vs contracted,mlx_gemma4_e2b_reasoner_only,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,3,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,-1.0
visual argument hints vs role catalog,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,-1.0
