system_id,tool_prompt_contract_id,exact_match_rate,executable_match_rate,delta_exact_vs_contracted,delta_exact_vs_no_directive,probe_gate,improved_case_count,regressed_case_count,dominant_failure_mode,failure_modes,recommendation
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,schema_anchor_v1,0.125,0.0,-0.75,0.125,probe_improved_vs_no_directive,1,0,argument_mismatch,argument_mismatch:3;call_count_mismatch:1;exact:1;no_tool_call:3,weak_exact_gain
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,literal_argument_guard_v1,0.0,1.0,-0.875,0.0,probe_improved_vs_no_directive,1,0,no_tool_call,argument_mismatch:3;executable_paraphrase:1;no_tool_call:4,visual_executable_gain_only
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,tool_required_parallel_v1,0.0,1.0,-0.875,0.0,probe_improved_vs_no_directive,1,0,no_tool_call,argument_mismatch:1;executable_paraphrase:1;no_tool_call:6,visual_executable_gain_only
