packet_label,case_id,family,failure_mode,executor_equivalence_match,output_dir
h1n_component_value,component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1n_component_value_execute_v1/runs/component_value_state_pill_note_decoy
h1n_component_value,component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1n_component_value_execute_v1/runs/component_value_status_badge_email_decoy
h1n_component_value,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1n_component_value_execute_v1/runs/component_value_result_pill_log_decoy
h1o_control_factorial,h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1o_control_factorial_execute_v1/runs/h1o_activation_warning_tile_no_call_decoy
h1p_component_value,h1p_stale_phase_tile_archive_decoy,h1p_component_value_stale_selection,wrong_tool,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1p_component_value_execute_v1/runs/h1p_stale_phase_tile_archive_decoy
