system_id,tool_prompt_contract_id,exact_match_rate,executable_match_rate,delta_exact_vs_contracted,delta_exact_vs_no_directive,probe_gate,improved_case_count,regressed_case_count,dominant_failure_mode,failure_modes,recommendation
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,canonical_json_copy_v3,0.125,0.0,-0.75,0.125,probe_improved_vs_no_directive,1,0,no_tool_call,argument_mismatch:2;call_count_mismatch:1;exact:1;no_tool_call:3;wrong_tool:1,weak_exact_gain
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,visual_tool_initiation_v3,0.125,1.0,-0.75,0.125,probe_improved_vs_no_directive,2,0,no_tool_call,call_count_mismatch:1;exact:1;executable_paraphrase:1;no_tool_call:4;wrong_tool:1,weak_exact_gain
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_two_call_array,parallel_two_call_array_v3,0.0,0.0,-0.875,0.0,no_probe_improvement_vs_no_directive,0,0,no_tool_call,argument_mismatch:1;no_tool_call:7,no_probe_gain
