comparison,baseline_system_id,candidate_system_id,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executable_rate,candidate_executable_rate,delta_executable_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
h1p argument hints vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,12,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5
h1p hybrid label guard vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_hybrid_label_guard,12,0.0,0.75,0.75,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
h1p no-call control rescue vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_no_call_control_rescue,12,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5
h1p component-value guard vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_value_guard,12,0.0,0.8333333333333334,0.8333333333333334,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666
