comparison,baseline_system_id,candidate_system_id,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executable_rate,candidate_executable_rate,delta_executable_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
post-repair contracted vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only,8,0.25,0.375,0.125,0.25,0.375,0.125,0.25,0.375,0.125
post-repair argument hints vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,8,0.25,0.625,0.375,0.25,0.625,0.375,0.25,0.625,0.375
post-repair oblique code hints vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_oblique_code_hints,8,0.25,0.625,0.375,0.25,0.625,0.375,0.25,0.625,0.375
post-repair oblique code guard vs no directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_oblique_code_guard,8,0.25,0.75,0.5,0.25,0.75,0.5,0.25,0.75,0.5
