label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,no_tool_call_count,argument_mismatch_count
no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1o_control_factorial_no_directive_execute_v1,12,5,0.4166666666666667,6,0.5,3,3
argument_hints_v2,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,results/tool_probe_replay_live/20260510T_h1o_control_factorial_argument_hints_execute_v1,12,9,0.75,10,0.8333333333333334,1,1
hybrid_label_guard_v8,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_hybrid_label_guard,results/tool_probe_replay_live/20260510T_h1o_control_factorial_hybrid_label_guard_execute_v1,12,8,0.6666666666666666,10,0.8333333333333334,0,2
no_call_control_rescue_v10,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_no_call_control_rescue,results/tool_probe_replay_live/20260510T_h1o_control_factorial_no_call_control_rescue_execute_v1,12,7,0.5833333333333334,8,0.6666666666666666,1,3
oblique_code_guard_v7,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_oblique_code_guard,results/tool_probe_replay_live/20260510T_h1o_control_factorial_oblique_code_guard_execute_v1,12,8,0.6666666666666666,9,0.75,0,3
component_value_guard_v9,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_value_guard,results/tool_probe_replay_live/20260510T_h1o_control_factorial_component_value_guard_execute_v1,12,9,0.75,10,0.8333333333333334,0,2
