suite,comparison_label,comparison_dir,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
h2f,h2j_vs_h2e,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2e_on_h2f_v2,10,0.6,1.0,0.4,0.6,1.0,0.4
h2f,h2j_vs_h2h,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2h_on_h2f_v2,10,0.9,1.0,0.09999999999999998,0.9,1.0,0.09999999999999998
h2f,h2j_vs_h2i,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2i_on_h2f_v2,10,0.6,1.0,0.4,0.6,1.0,0.4
h2b,h2j_vs_h2e,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2e_on_h2b_v2,5,1.0,1.0,0.0,1.0,1.0,0.0
h2b,h2j_vs_h2h,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2h_on_h2b_v2,5,0.6,1.0,0.4,0.6,1.0,0.4
h1x,h2j_vs_h2e,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2e_on_h1x_v1,8,1.0,1.0,0.0,1.0,1.0,0.0
h1x,h2j_vs_h2h,results/tool_probe_replay_live_comparisons/20260512T_h2j_target_query_normalization_vs_h2h_on_h1x_v1,8,0.75,1.0,0.25,0.75,1.0,0.25
