suite,profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2f,h2e_route_arbitration,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1,10,6,0.6,6,0.6
h2f,h2h_component_identity_negative_examples,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_identity_negative_examples_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2h_component_identity_negative_examples_on_h2f_execute_v1,10,9,0.9,9,0.9
h2f,h2j_target_query_normalization,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_target_query_normalization,results/tool_probe_replay_live/20260512T_h2j_target_query_normalization_on_h2f_execute_v2,10,10,1.0,10,1.0
h2b,h2e_route_arbitration,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2e_route_arbitration_on_h2b_execute_v1,5,5,1.0,5,1.0
h2b,h2h_component_identity_negative_examples,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_identity_negative_examples_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2h_component_identity_negative_examples_on_h2b_execute_v1,5,3,0.6,3,0.6
h2b,h2j_target_query_normalization,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_target_query_normalization,results/tool_probe_replay_live/20260512T_h2j_target_query_normalization_on_h2b_execute_v2,5,5,1.0,5,1.0
h1x,h2e_route_arbitration,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2e_route_arbitration_on_h1x_execute_v1,8,8,1.0,8,1.0
h1x,h2h_component_identity_negative_examples,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_identity_negative_examples_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2h_component_identity_negative_examples_on_h1x_execute_v1,8,6,0.75,6,0.75
h1x,h2j_target_query_normalization,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_target_query_normalization,results/tool_probe_replay_live/20260512T_h2j_target_query_normalization_on_h1x_execute_v1,8,8,1.0,8,1.0
