profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,no_tool_call_count,argument_mismatch_count,executable_paraphrase_count
no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_no_directive_execute_v1,6,0,0.0,1,0.16666666666666666,3,2,1
component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_component_label_guard_execute_v1,6,5,0.8333333333333334,5,0.8333333333333334,0,1,0
component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_component_residual_guard_execute_v1,6,6,1.0,6,1.0,0,0,0
