case_id,family,source_failure_mode,baseline_exact_match,expected_call_count,source_actual_call_count,status,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match
h1x_responsible_party_field_old_owner_memo_decoy,h1x_oblique_stale_field,wrong_tool_or_stale_selection_risk,,1,,non_exact,no_tool_call,False,False,False
h1x_workstream_owner_field_previous_summary_decoy,h1x_oblique_stale_field,wrong_tool_or_stale_selection_risk,,1,,non_exact,no_tool_call,False,False,False
h1x_resolution_chip_comment_result_decoy,h1x_oblique_surface_value,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h1x_progress_marker_summary_status_decoy,h1x_oblique_surface_value,argument_alias_or_decoy_risk,,1,,non_exact,argument_mismatch,False,False,False
h1x_lifecycle_marker_log_state_tag_decoy,h1x_oblique_nonstandard_class,argument_alias_or_decoy_risk,,1,,non_exact,no_tool_call,False,False,False
h1x_operation_mode_control_note_toggle_decoy,h1x_oblique_nonstandard_class,argument_alias_or_decoy_risk,,1,,non_exact,no_tool_call,False,False,False
h1x_warning_panel_note_activation_decoy,h1x_oblique_activation_no_call,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
h1x_error_notice_history_activation_decoy,h1x_oblique_activation_no_call,wrong_tool_or_stale_selection_risk,,1,,exact,exact,True,True,True
