failure_mode,count,system_count,episode_count,systems,episodes
raw_refusal,5,2,3,hf_service_gemma4_specialists_cpu_no_controller_fallback;hf_service_gemma4_specialists_cpu_no_controller_repair,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
repair_disabled,4,1,4,hf_service_gemma4_specialists_cpu_no_controller_repair,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
fallback_disabled,3,1,3,hf_service_gemma4_specialists_cpu_no_controller_fallback,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
argument_repair,2,1,2,hf_service_gemma4_specialists_cpu_no_controller_fallback,kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
fallback_planner,2,1,2,hf_service_gemma4_specialists_cpu_no_controller_repair,kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
