system_id,execute,output_dir,exact_match_count,exact_match_rate,executable_match_count,executable_match_rate,dominant_failure_mode,failure_mode_counts,comparison_path,comparison_vs_contracted,comparison_vs_no_directive,delta_exact_vs_contracted,delta_exact_vs_no_directive,delta_executable_vs_contracted,delta_executable_vs_no_directive,hard_slice_gate
mlx_gemma4_e2b_reasoner_only,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only,8,1.0,8,1.0,exact,"{""exact"": 8}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only/comparison_vs_no_directive/probe_comparison.json,0.0,0.875,0.0,0.875,contracted_reference
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,1,0.125,1,0.125,no_tool_call,"{""argument_mismatch"": 2, ""exact"": 1, ""no_tool_call"": 4, ""wrong_tool"": 1}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive/comparison_vs_no_directive/probe_comparison.json,-0.875,0.0,-0.875,0.0,no_directive_reference
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,3,0.375,3,0.375,argument_mismatch,"{""argument_mismatch"": 3, ""exact"": 3, ""wrong_tool"": 2}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog/comparison_vs_no_directive/probe_comparison.json,-0.625,0.25,-0.625,0.25,hard_slice_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,6,0.75,7,0.875,exact,"{""argument_mismatch"": 1, ""exact"": 6, ""executable_paraphrase"": 1}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints/comparison_vs_no_directive/probe_comparison.json,-0.25,0.625,-0.125,0.75,hard_slice_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,5,0.625,6,0.75,exact,"{""argument_mismatch"": 1, ""exact"": 5, ""executable_paraphrase"": 1, ""wrong_tool"": 1}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints/comparison_vs_no_directive/probe_comparison.json,-0.375,0.5,-0.25,0.625,hard_slice_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,6,0.75,8,1.0,exact,"{""exact"": 6, ""executable_paraphrase"": 2}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints/comparison_vs_no_directive/probe_comparison.json,-0.25,0.625,0.0,0.875,hard_slice_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,5,0.625,7,0.875,exact,"{""exact"": 5, ""executable_paraphrase"": 2, ""wrong_tool"": 1}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets/comparison_vs_no_directive/probe_comparison.json,-0.375,0.5,-0.125,0.75,hard_slice_improved_vs_no_directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,True,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,3,0.375,4,0.5,exact,"{""argument_mismatch"": 2, ""exact"": 3, ""executable_paraphrase"": 1, ""no_tool_call"": 1, ""wrong_tool"": 1}",/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard/comparison_vs_contracted/probe_comparison.json,/Users/cheickdiakite/Codex/moonie/results/visual_hard_slice_probe_packets/20260509T_visual_hard_slice_v5_execute_v1/mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard/comparison_vs_no_directive/probe_comparison.json,-0.625,0.25,-0.5,0.375,hard_slice_improved_vs_no_directive
