comparison_label,comparison_dir,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
h2t_h2r_vs_h2e,results/tool_probe_replay_live_comparisons/20260512T_h2t_overreach_independence_h2r_vs_h2e_v1,10,0.6,0.8,0.20000000000000007,0.9,0.8,-0.09999999999999998
h2t_h2r_vs_h2j,results/tool_probe_replay_live_comparisons/20260512T_h2t_overreach_independence_h2r_vs_h2j_v1,10,0.8,0.8,0.0,0.8,0.8,0.0
h2t_h2r_vs_h2o,results/tool_probe_replay_live_comparisons/20260512T_h2t_overreach_independence_h2r_vs_h2o_v1,10,0.8,0.8,0.0,0.8,0.8,0.0
h2t_h2r_vs_h2p,results/tool_probe_replay_live_comparisons/20260512T_h2t_overreach_independence_h2r_vs_h2p_v1,10,0.8,0.8,0.0,0.8,0.8,0.0
