profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2e_route_arbitration,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate,results/tool_probe_replay_live/20260512T_h2k_target_decoy_overlap_h2e_execute_v1,8,3,0.375,6,0.75
h2h_component_identity_negative_examples,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_identity_negative_examples_visual_stale_selection_gate,results/tool_probe_replay_live/20260512T_h2k_target_decoy_overlap_h2h_execute_v1,8,6,0.75,6,0.75
h2j_target_query_normalization,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_target_query_normalization,results/tool_probe_replay_live/20260512T_h2k_target_decoy_overlap_h2j_execute_v1,8,8,1.0,8,1.0
