case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
component_value_state_pill_note_decoy,visual_argument_transfer_component_value_pill,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_state_pill_note_decoy.json
component_value_status_badge_email_decoy,visual_argument_transfer_component_value_nonpill,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_status_badge_email_decoy.json
component_value_phase_tile_ticket_decoy,visual_argument_transfer_component_value_nonpill,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_phase_tile_ticket_decoy.json
component_value_priority_chip_table_decoy,visual_argument_transfer_component_value_nonpill,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_priority_chip_table_decoy.json
component_value_severity_pill_chart_decoy,visual_argument_transfer_component_value_pill,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_severity_pill_chart_decoy.json
component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_result_pill_log_decoy.json
component_value_risk_badge_stale_selection_decoy,visual_tool_routing_component_value,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_risk_badge_stale_selection_decoy.json
component_value_owner_field_stale_selection_decoy,visual_tool_routing_component_value,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_visual_hard_slice_component_value_oracle_dry_run_v1/cases/component_value_owner_field_stale_selection_decoy.json
