case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,expected_call_count,replay_actual_call_count,output_dir
visual_form_target_literal,visual_argument_copying,no_tool_call,no_tool_call,False,False,1,0,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260507T_visual_state_no_directive_live_execute_v1/runs/visual_form_target_literal
visual_latest_filter_literal,visual_referent_carryover,no_tool_call,no_tool_call,False,,1,0,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260507T_visual_state_no_directive_live_execute_v1/runs/visual_latest_filter_literal
visual_readback_region_literal,visual_referent_carryover,no_tool_call,no_tool_call,False,,1,0,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260507T_visual_state_no_directive_live_execute_v1/runs/visual_readback_region_literal
