run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,escalation_readiness,evidence_hit_rate,faster_than_human,hallucinated_tool_rate,human_time_ratio,intervention_free_success,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,real_world_readiness_score,recall_at_k,recovery_resilience,state_integrity_score,steps_taken,success,token_budget_used
20260409T190752Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0091,1.0,4387,0.0,0.5,0.6309297535714575,419,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190755Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_language_fr,retr_003_incident_multimodal,retr_003_incident_multimodal_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,fr,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0054,1.0,2594,0.0,0.5,0.6309297535714575,458,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190758Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_context_long_history,retr_003_incident_multimodal,retr_003_incident_multimodal_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0065,1.0,3122,0.0,0.5,0.6309297535714575,455,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190802Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_efficiency_top_k_3,retr_003_incident_multimodal,retr_003_incident_multimodal_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0066,1.0,3179,0.0,0.5,0.6309297535714575,419,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190805Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_clean,retr_011_approval_policy,retr_011_approval_policy_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,,none,1.0,0,1.0,10,0,1.0,1.0,1.0,0.0,0.0054,1.0,1608,0.0,1.0,1.0,165,1.0,1.0,1.0,1.0,0,1.0,3
20260409T190808Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_language_fr,retr_011_approval_policy,retr_011_approval_policy_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,0,0.0,26,0,1.0,1.0,1.0,0.0,0.0091,0.0,2715,0.0,1.0,1.0,192,0.1,1.0,1.0,0.0,0,0.0,3
20260409T190809Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_context_long_history,retr_011_approval_policy,retr_011_approval_policy_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,11,0,1.0,1.0,1.0,0.0,0.004,1.0,1214,0.0,1.0,1.0,201,1.0,1.0,1.0,1.0,0,1.0,3
20260409T190810Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_efficiency_top_k_3,retr_011_approval_policy,retr_011_approval_policy_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,10,0,1.0,1.0,1.0,0.0,0.0042,1.0,1268,0.0,1.0,1.0,165,1.0,1.0,1.0,1.0,0,1.0,3
20260409T190814Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_clean,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0096,1.0,3454,0.0,1.0,1.0,431,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190817Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_language_fr,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,fr,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0075,1.0,2710,0.0,1.0,1.0,458,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190821Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_context_long_history,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,7,0,1.0,1.0,1.0,0.0,0.0089,1.0,3197,0.0,1.0,1.0,467,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190823Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.006,1.0,2178,0.0,1.0,1.0,431,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190825Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_clean,retr_013_vendor_access_defer,retr_013_vendor_access_defer_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,,,,,none,1.0,0,1.0,16,0,1.0,1.0,1.0,0.0,0.0077,1.0,1848,0.0,1.0,1.0,156,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190832Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_language_fr,retr_013_vendor_access_defer,retr_013_vendor_access_defer_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,0,0.0,53,0,0.0,1.0,1.0,0.0,0.0266,0.0,6385,0.0,1.0,1.0,183,0.0,1.0,1.0,0.0,0,0.0,2
20260409T190835Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_context_long_history,retr_013_vendor_access_defer,retr_013_vendor_access_defer_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,29,0,1.0,1.0,1.0,0.0,0.0126,1.0,3030,0.0,1.0,1.0,192,1.0,1.0,1.0,1.0,0,1.0,2
20260409T190839Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_efficiency_top_k_3,retr_013_vendor_access_defer,retr_013_vendor_access_defer_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,29,0,1.0,1.0,1.0,0.0,0.0117,1.0,2798,0.0,1.0,1.0,156,1.0,1.0,1.0,1.0,0,1.0,2
