case_id,family,failure_mode,executor_equivalence_match,output_dir
h1r_state_tag_log_value_decoy,h1r_nonstandard_component_class,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1t_conditional_residual_route_on_h1r_component_residual_execute_v1/runs/h1r_state_tag_log_value_decoy
h1r_mode_toggle_note_value_decoy,h1r_nonstandard_component_class,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1t_conditional_residual_route_on_h1r_component_residual_execute_v1/runs/h1r_mode_toggle_note_value_decoy
h1r_alert_s92_toggle_negation_decoy,h1r_code_label_exactness,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1t_conditional_residual_route_on_h1r_component_residual_execute_v1/runs/h1r_alert_s92_toggle_negation_decoy
