case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,expected_call_count,replay_actual_call_count,output_dir
visual_form_error_with_prior_selection_decoy,visual_tool_routing,argument_mismatch,exact,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260509T_visual_hard_slice_schema_field_hints_hard_replay_live_execute_v1/runs/visual_form_error_with_prior_selection_decoy
visual_metric_panel_vs_table_selector,visual_argument_copying,argument_mismatch,executable_paraphrase,False,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260509T_visual_hard_slice_schema_field_hints_hard_replay_live_execute_v1/runs/visual_metric_panel_vs_table_selector
