finding_id,finding
strict_upper_bound,"oblique_code_guard_v7, no_call_control_rescue_v10 are the strict upper bound at 0.75."
executor_equivalence_set,Executor-equivalent full-success rows: none.
executor_without_strict,Rows with executor gain without strict gain: none.
regressions,"Regression cases: contracted:post_repair_node_k21_chart_decoy, oblique_code_hints_v6:post_repair_review_tile_table_decoy."
