label,candidate_system_id,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
contracted,mlx_gemma4_e2b_reasoner_only,8,0.25,0.375,0.125,0.25,0.375,0.125
argument_hints_v2,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,8,0.25,0.625,0.375,0.25,0.625,0.375
oblique_code_hints_v6,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_oblique_code_hints,8,0.25,0.625,0.375,0.25,0.625,0.375
oblique_code_guard_v7,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_oblique_code_guard,8,0.25,0.75,0.5,0.25,0.75,0.5
